Nebraska;4.1;1
South Dakota;4.3;2
Utah;4.7;3
Maine;5.0;4
Iowa;5.1;5
North Dakota;5.1;5
Idaho;5.5;7
Vermont;5.6;8
Kansas;5.7;9
Montana;5.8;10
Wyoming;5.8;10
South Carolina;6.0;12
Arkansas;6.1;13
Missouri;6.1;13
Oklahoma;6.2;15
Virginia;6.2;15
Minnesota;6.3;17
Wisconsin;6.3;17
Kentucky;6.4;19
Alabama;6.5;20
Georgia;6.5;20
Maryland;6.7;22
New Hampshire;6.7;22
Colorado;6.9;24
North Carolina;7.1;25
Indiana;7.2;26
Tennessee;7.4;27
Delaware;7.6;28
Oregon;7.6;28
Arizona;7.7;30
Texas;7.7;30
Connecticut;7.8;32
Mississippi;7.9;33
District of Columbia;8.0;34
New Mexico;8.1;35
Alaska;8.2;36
Florida;8.2;36
Ohio;8.2;36
West Virginia;8.2;36
Washington;8.5;40
Louisiana;8.7;41
Pennsylvania;9.1;42
Illinois;9.2;43
Rhode Island;9.2;43
Massachusetts;9.4;45
New Jersey;9.5;46
New York;9.9;47
Michigan;10.0;48
California;10.2;49
Hawaii;12.0;50
Nevada;13.5;51